replicate,status,hard_eligible_count,random_expected_catastrophic_rate,issued_catastrophic_rate,risk_reduction_fraction
29,defined,795,0.38616352201257864,0.29799999999999999,0.22830618892508148
30,defined,792,0.43813131313131315,0.36599999999999999,0.16463400576368881
31,defined,753,0.41434262948207173,0.32600000000000001,0.21321153846153851
32,defined,770,0.39870129870129872,0.29199999999999998,0.26762214983713362
33,defined,793,0.39974779319041615,0.312,0.21950788643533126
34,defined,779,0.42490372272143773,0.32600000000000001,0.23276737160120842
35,defined,784,0.40816326530612246,0.314,0.23070000000000002
36,defined,795,0.40251572327044027,0.32800000000000001,0.18512499999999998
37,defined,797,0.44165621079046424,0.36199999999999999,0.18035795454545456
38,defined,802,0.39900249376558605,0.318,0.20301250000000004
39,defined,771,0.40856031128404668,0.30399999999999999,0.25592380952380955
40,defined,796,0.43969849246231157,0.318,0.27677714285714283
41,defined,790,0.39746835443037976,0.33000000000000002,0.16974522292993632
42,defined,773,0.40362225097024579,0.32800000000000001,0.18735897435897431
43,defined,787,0.39390088945362134,0.30399999999999999,0.22823225806451608
44,defined,775,0.44903225806451613,0.34399999999999997,0.23390804597701154
45,defined,791,0.40581542351453853,0.318,0.21639252336448589
46,defined,770,0.40389610389610392,0.32400000000000001,0.19781350482315119
47,defined,782,0.40792838874680309,0.34200000000000003,0.16161755485893414
48,defined,769,0.4447334200260078,0.34399999999999997,0.22650292397660821
49,defined,786,0.41348600508905853,0.30599999999999999,0.25995076923076921
50,defined,765,0.42352941176470588,0.34599999999999997,0.18305555555555564
51,defined,758,0.39182058047493401,0.30599999999999999,0.21903030303030302
52,defined,773,0.41655886157826649,0.32800000000000001,0.21259627329192543
53,defined,788,0.42766497461928932,0.32400000000000001,0.24239762611275961
54,defined,775,0.42709677419354841,0.32000000000000001,0.25075528700906347
55,defined,778,0.42930591259640105,0.33400000000000002,0.22199999999999998
56,defined,803,0.43088418430884184,0.35999999999999999,0.16450867052023121
57,defined,775,0.41032258064516131,0.312,0.23962264150943402
58,defined,792,0.44065656565656564,0.33800000000000002,0.23296275071633232
59,defined,767,0.41069100391134289,0.312,0.24030476190476191
60,defined,776,0.43170103092783507,0.35599999999999998,0.1753552238805971
61,defined,774,0.42764857881136953,0.34399999999999997,0.19560120845921458
62,defined,762,0.41469816272965881,0.34000000000000002,0.180126582278481
63,defined,794,0.42317380352644834,0.33200000000000002,0.21545238095238084
64,defined,755,0.43973509933774835,0.35199999999999998,0.19951807228915663
65,defined,780,0.43205128205128207,0.32200000000000001,0.25471810089020774
66,defined,773,0.42561448900388099,0.32800000000000001,0.22934954407294827
67,defined,779,0.40564826700898587,0.32200000000000001,0.20620886075949363
68,defined,776,0.40592783505154639,0.314,0.22646349206349203
69,defined,769,0.40312093628088425,0.308,0.23596129032258062
70,defined,781,0.41357234314980795,0.35599999999999998,0.13920743034055738
71,defined,783,0.39591315453384418,0.29399999999999998,0.25741290322580646
72,defined,770,0.42857142857142855,0.32000000000000001,0.2533333333333333
73,defined,788,0.41243654822335024,0.30199999999999999,0.26776615384615388
74,defined,760,0.40526315789473683,0.318,0.21532467532467525
75,defined,771,0.41245136186770426,0.314,0.23869811320754708
76,defined,799,0.40175219023779724,0.314,0.21842367601246104
77,defined,796,0.41834170854271358,0.32400000000000001,0.22551351351351345
78,defined,778,0.43059125964010281,0.35399999999999998,0.17787462686567168
79,defined,779,0.39409499358151479,0.30199999999999999,0.23368729641693819
80,defined,778,0.40102827763496146,0.316,0.21202564102564103
81,defined,770,0.40389610389610392,0.34399999999999997,0.14829581993569141
82,defined,771,0.39559014267185472,0.312,0.21130491803278684
83,defined,751,0.40878828229027964,0.32200000000000001,0.21230618892508146
84,defined,793,0.40353089533417402,0.33000000000000002,0.18221874999999998
85,defined,804,0.40920398009950248,0.32200000000000001,0.21310638297872342
86,defined,763,0.41153342070773263,0.32200000000000001,0.21756050955414008
87,defined,760,0.41052631578947368,0.32200000000000001,0.21564102564102561
88,defined,786,0.41857506361323155,0.34999999999999998,0.16382978723404262
89,defined,795,0.41132075471698115,0.32000000000000001,0.22201834862385328
90,defined,771,0.41374837872892345,0.33400000000000002,0.19274608150470207
91,defined,799,0.41677096370463079,0.33800000000000002,0.18900300300300299
92,defined,804,0.43283582089552236,0.33600000000000002,0.22372413793103441
93,defined,774,0.42506459948320413,0.35199999999999998,0.17189057750759884
94,defined,762,0.40682414698162728,0.32400000000000001,0.20358709677419351
95,defined,780,0.3923076923076923,0.28799999999999998,0.26588235294117657
96,defined,769,0.40312093628088425,0.33400000000000002,0.17146451612903213
97,defined,774,0.41472868217054265,0.314,0.24287850467289718
98,defined,789,0.42332065906210392,0.33400000000000002,0.21099999999999997
99,defined,781,0.4212548015364917,0.318,0.24511246200607906
100,defined,784,0.4375,0.35799999999999998,0.18171428571428572
101,defined,779,0.40179717586649549,0.29999999999999999,0.2533546325878594
102,defined,765,0.43006535947712421,0.33200000000000002,0.22802431610942253
103,defined,763,0.41153342070773263,0.32000000000000001,0.22242038216560511
104,defined,778,0.41516709511568123,0.318,0.23404334365325075
105,defined,769,0.40572171651495448,0.33200000000000002,0.18170512820512819
106,defined,779,0.43260590500641849,0.33600000000000002,0.22331157270029667
107,defined,788,0.42005076142131981,0.316,0.24770996978851967
108,defined,782,0.43094629156010228,0.33400000000000002,0.22496142433234412
109,defined,777,0.40283140283140284,0.32400000000000001,0.19569329073482422
110,defined,774,0.41989664082687339,0.32600000000000001,0.22361846153846154
111,defined,784,0.42091836734693877,0.316,0.24926060606060607
112,defined,773,0.40750323415265199,0.30599999999999999,0.24908571428571424
113,defined,784,0.42602040816326531,0.32400000000000001,0.23947305389221551
114,defined,805,0.39378881987577641,0.29799999999999999,0.24324921135646693
115,defined,771,0.43579766536964981,0.36599999999999999,0.16016071428571432
116,defined,771,0.42671854734111542,0.31,0.27352583586626134
117,defined,770,0.40909090909090912,0.32800000000000001,0.19822222222222219
118,defined,783,0.454661558109834,0.33800000000000002,0.25658988764044943
119,defined,783,0.38314176245210729,0.28399999999999997,0.2587600000000001
120,defined,772,0.42875647668393785,0.33200000000000002,0.22566767371601204
121,defined,795,0.42515723270440253,0.314,0.26144970414201185
122,defined,793,0.41361916771752838,0.32400000000000001,0.2166707317073171
123,defined,789,0.42458808618504434,0.32200000000000001,0.24161791044776115
124,defined,766,0.39947780678851175,0.30599999999999999,0.23399999999999999
125,defined,806,0.44168734491315137,0.34399999999999997,0.22116853932584279
126,defined,788,0.40736040609137059,0.32200000000000001,0.20954517133956385
127,defined,787,0.40025412960609913,0.30399999999999999,0.24048253968253974
128,defined,787,0.43583227445997458,0.36199999999999999,0.16940524781341104
129,defined,787,0.40533672172808133,0.34000000000000002,0.16119122257053287
130,defined,777,0.39768339768339767,0.32000000000000001,0.19533980582524268
131,defined,749,0.42323097463284381,0.32800000000000001,0.2250094637223975
132,defined,789,0.43599493029150826,0.34000000000000002,0.22017441860465115
133,defined,786,0.41603053435114506,0.34399999999999997,0.17313761467889921
134,defined,793,0.41488020176544765,0.32400000000000001,0.21905167173252271
135,defined,785,0.41528662420382167,0.33400000000000002,0.1957361963190184
136,defined,767,0.40026075619295959,0.318,0.2055179153094463
137,defined,796,0.42713567839195982,0.32600000000000001,0.23677647058823525
138,defined,783,0.43295019157088122,0.35599999999999998,0.17773451327433631
139,defined,765,0.41960784313725491,0.32400000000000001,0.22785046728971958
140,defined,789,0.44866920152091255,0.35399999999999998,0.21100000000000008
141,defined,765,0.4065359477124183,0.312,0.232540192926045
142,defined,774,0.42506459948320413,0.34200000000000003,0.19541641337386007
143,defined,802,0.42019950124688277,0.32200000000000001,0.2336973293768545
144,defined,781,0.38796414852752881,0.30599999999999999,0.21126732673267323
145,defined,774,0.41085271317829458,0.32600000000000001,0.20652830188679239
146,defined,792,0.44318181818181818,0.34000000000000002,0.23282051282051275
147,defined,782,0.42710997442455245,0.32200000000000001,0.24609580838323353
148,defined,795,0.42767295597484278,0.33800000000000002,0.20967647058823524
149,defined,782,0.39258312020460356,0.32800000000000001,0.16450814332247554
150,defined,789,0.41951837769328265,0.32800000000000001,0.21815105740181273
151,defined,781,0.40588988476312421,0.32200000000000001,0.20668138801261826
152,defined,773,0.4333764553686934,0.34599999999999997,0.20161791044776123
153,defined,788,0.42258883248730966,0.33800000000000002,0.20016816816816818
154,defined,780,0.43461538461538463,0.33400000000000002,0.23150442477876099
155,defined,774,0.3979328165374677,0.30599999999999999,0.23102597402597402
156,defined,776,0.46520618556701032,0.33600000000000002,0.27773961218836563
157,defined,779,0.39794608472400511,0.32400000000000001,0.18581935483870959
158,defined,778,0.42802056555269924,0.32600000000000001,0.23835435435435437
159,defined,801,0.40948813982521848,0.33000000000000002,0.19411585365853656
160,defined,777,0.41570141570141572,0.32000000000000001,0.23021671826625389
161,defined,781,0.41613316261203587,0.312,0.25024000000000002
162,defined,789,0.40811153358681873,0.28799999999999998,0.29431055900621117
163,defined,782,0.42455242966751916,0.33800000000000002,0.20386746987951798
164,defined,765,0.43790849673202614,0.34399999999999997,0.21444776119402986
165,defined,796,0.435929648241206,0.33400000000000002,0.23382132564841485
166,defined,782,0.41815856777493604,0.35199999999999998,0.15821406727828746
167,defined,791,0.40834386852085969,0.316,0.2261424148606811
168,defined,789,0.40304182509505704,0.318,0.21099999999999997
169,defined,790,0.45949367088607596,0.35399999999999998,0.22958677685950424
170,defined,786,0.39185750636132316,0.28399999999999997,0.2752467532467533
171,defined,777,0.38095238095238093,0.29599999999999999,0.22299999999999998
172,defined,770,0.37272727272727274,0.29399999999999998,0.21121951219512203
173,defined,776,0.41623711340206188,0.32800000000000001,0.21198761609907124
174,defined,794,0.39042821158690177,0.30199999999999999,0.22649032258064516
175,defined,783,0.37547892720306514,0.32000000000000001,0.14775510204081632
176,defined,779,0.39281129653401797,0.29599999999999999,0.24645751633986934
177,defined,776,0.43685567010309279,0.33600000000000002,0.23086725663716812
178,defined,806,0.4305210918114144,0.32000000000000001,0.25671469740634001
179,defined,766,0.41253263707571802,0.33200000000000002,0.19521518987341768
180,defined,774,0.39664082687338503,0.28799999999999998,0.27390228013029327
181,defined,792,0.43055555555555558,0.33200000000000002,0.22890322580645162
182,defined,778,0.41516709511568123,0.32400000000000001,0.21959133126934982
183,defined,782,0.42455242966751916,0.312,0.26510843373493975
184,defined,777,0.43758043758043758,0.35199999999999998,0.19557647058823535
185,defined,775,0.41935483870967744,0.33600000000000002,0.1987692307692307
186,defined,790,0.4088607594936709,0.30599999999999999,0.25157894736842112
187,defined,759,0.44532279314888013,0.36399999999999999,0.18261538461538462
188,defined,773,0.43596377749029752,0.35399999999999998,0.1880059347181009
189,defined,774,0.4263565891472868,0.34599999999999997,0.18847272727272735
190,defined,794,0.41057934508816119,0.314,0.23522699386503065
191,defined,796,0.41582914572864321,0.32800000000000001,0.21121450151057397
192,defined,780,0.43333333333333335,0.33400000000000002,0.22923076923076924
193,defined,766,0.41122715404699739,0.316,0.23156825396825398
194,defined,778,0.43958868894601544,0.33600000000000002,0.23564912280701755
195,defined,779,0.40436456996148906,0.29999999999999999,0.25809523809523804
196,defined,783,0.42656449553001274,0.30599999999999999,0.2826407185628742
197,defined,785,0.40891719745222932,0.30399999999999999,0.25657320872274147
198,defined,767,0.42894393741851367,0.35199999999999998,0.17937993920972639
199,defined,802,0.43017456359102246,0.33600000000000002,0.21892173913043478
200,defined,756,0.41798941798941797,0.34399999999999997,0.17701265822784817
201,defined,791,0.39570164348925413,0.32400000000000001,0.18120127795527163
202,defined,776,0.40979381443298968,0.29999999999999999,0.26792452830188684
203,defined,776,0.42139175257731959,0.318,0.24535779816513759
204,defined,780,0.40897435897435896,0.30399999999999999,0.25667711598746079
205,defined,781,0.41229193341869397,0.30599999999999999,0.25780745341614908
206,defined,773,0.38551099611901679,0.28599999999999998,0.25812751677852352
207,defined,803,0.41718555417185554,0.30199999999999999,0.27610149253731342
208,defined,771,0.38780804150453957,0.28399999999999997,0.26767892976588636
209,defined,771,0.383916990920882,0.28799999999999998,0.24983783783783797
210,defined,780,0.41410256410256413,0.314,0.24173374613003096
211,defined,782,0.4156010230179028,0.33000000000000002,0.20596923076923068
212,defined,791,0.41340075853350189,0.316,0.23560856269113151
213,defined,770,0.41038961038961042,0.312,0.23974683544303799
214,defined,783,0.39080459770114945,0.29799999999999999,0.23747058823529421
215,defined,790,0.40632911392405063,0.34200000000000003,0.15831775700934569
216,defined,785,0.40509554140127391,0.32600000000000001,0.19525157232704404
217,defined,806,0.42431761786600497,0.31,0.26941520467836255
218,defined,788,0.4137055837563452,0.312,0.245840490797546
219,defined,772,0.4106217616580311,0.314,0.23530599369085181
220,defined,791,0.4222503160556258,0.33200000000000002,0.21373652694610779
221,defined,803,0.43711083437110837,0.32800000000000001,0.24961823361823365
222,defined,812,0.40640394088669951,0.316,0.2224484848484849
223,defined,775,0.43483870967741933,0.32600000000000001,0.25029673590504442
224,defined,778,0.43187660668380462,0.312,0.27757142857142858
225,defined,800,0.41499999999999998,0.34000000000000002,0.18072289156626498
226,defined,772,0.38082901554404147,0.30399999999999999,0.20174149659863949
227,defined,767,0.42503259452411996,0.34200000000000003,0.19535582822085884
228,defined,778,0.40745501285347041,0.316,0.22445425867507884
229,defined,803,0.40722291407222916,0.308,0.2436574923547401
230,defined,763,0.40235910878112713,0.33000000000000002,0.17983713355048858
231,defined,774,0.41472868217054265,0.314,0.24287850467289718
232,defined,784,0.39923469387755101,0.316,0.20848562300319484
233,defined,780,0.39743589743589741,0.318,0.19987096774193547
234,defined,778,0.42930591259640105,0.33800000000000002,0.21268263473053894
235,defined,785,0.40636942675159238,0.312,0.23222570532915365
236,defined,767,0.41199478487614083,0.32200000000000001,0.2184367088607595
237,defined,761,0.40210249671484888,0.30199999999999999,0.24894771241830072
238,defined,775,0.39741935483870966,0.318,0.19983766233766231
239,defined,803,0.42092154420921546,0.30199999999999999,0.28252662721893496
240,defined,771,0.40337224383916992,0.32000000000000001,0.20668810289389072
241,defined,789,0.40937896070975921,0.32200000000000001,0.21344272445820434
242,defined,791,0.41719342604298354,0.32200000000000001,0.22817575757575748
243,defined,792,0.38510101010101011,0.312,0.18982295081967215
244,defined,785,0.41910828025477709,0.34599999999999997,0.17443768996960496
245,defined,780,0.42307692307692307,0.34000000000000002,0.1963636363636363
246,defined,773,0.4204398447606727,0.33600000000000002,0.20083692307692302
247,defined,782,0.41176470588235292,0.32000000000000001,0.22285714285714275
248,defined,783,0.45849297573435505,0.36799999999999999,0.19737047353760451
249,defined,796,0.42085427135678394,0.316,0.24914626865671641
250,defined,783,0.42528735632183906,0.35799999999999998,0.15821621621621618
251,defined,795,0.40000000000000002,0.30599999999999999,0.2350000000000001
252,defined,766,0.38903394255874674,0.33200000000000002,0.14660402684563756
253,defined,779,0.41591784338896021,0.32800000000000001,0.21138271604938264
254,defined,790,0.43670886075949367,0.34999999999999998,0.1985507246376812
255,defined,766,0.40731070496083549,0.314,0.22908974358974354
256,defined,776,0.38015463917525771,0.308,0.18980338983050848
257,defined,779,0.40693196405648269,0.29999999999999999,0.26277602523659316
258,defined,784,0.39030612244897961,0.29799999999999999,0.23649673202614385
259,defined,772,0.42098445595854922,0.32800000000000001,0.22087384615384609
260,defined,785,0.42802547770700639,0.32000000000000001,0.25238095238095237
261,defined,776,0.41494845360824745,0.32800000000000001,0.2095403726708075
262,defined,778,0.42544987146529561,0.32600000000000001,0.23375226586102715
263,defined,774,0.41602067183462532,0.32400000000000001,0.2211925465838509
264,defined,779,0.41591784338896021,0.32400000000000001,0.22099999999999997
265,defined,775,0.40387096774193548,0.32800000000000001,0.18785942492012775
266,defined,777,0.40926640926640928,0.318,0.22299999999999998
267,defined,787,0.40660736975857686,0.316,0.22283750000000002
268,defined,786,0.42748091603053434,0.32000000000000001,0.25142857142857145
269,defined,770,0.40649350649350652,0.29599999999999999,0.27182108626198087
270,defined,767,0.43155149934810949,0.35799999999999998,0.17043504531722053
271,defined,795,0.39622641509433965,0.28999999999999998,0.26809523809523816
272,defined,782,0.42199488491048592,0.32400000000000001,0.23221818181818177
273,defined,787,0.4078780177890724,0.318,0.22035514018691582
274,defined,793,0.43505674653215637,0.32400000000000001,0.2552695652173913
275,defined,777,0.40154440154440152,0.308,0.23296153846153844
276,defined,782,0.42327365728900257,0.35399999999999998,0.16366163141993961
277,defined,780,0.43076923076923079,0.36599999999999999,0.15035714285714297
278,defined,789,0.41064638783269963,0.34200000000000003,0.16716666666666657
279,defined,786,0.39058524173027992,0.308,0.21143973941368088
280,defined,775,0.40903225806451615,0.318,0.22255520504731863
281,defined,788,0.41878172588832485,0.33600000000000002,0.19767272727272722
282,defined,776,0.41237113402061853,0.30599999999999999,0.25795000000000001
283,defined,778,0.41388174807197942,0.32600000000000001,0.21233540372670801
284,defined,777,0.43114543114543114,0.35599999999999998,0.17429253731343286
285,defined,781,0.41869398207426378,0.318,0.24049541284403675
286,defined,799,0.42428035043804757,0.33600000000000002,0.20807079646017701
287,defined,798,0.39974937343358397,0.32200000000000001,0.19449529780564268
288,defined,795,0.39748427672955977,0.30399999999999999,0.23518987341772157
289,defined,767,0.38591916558018252,0.29599999999999999,0.23299999999999998
290,defined,782,0.41815856777493604,0.33800000000000002,0.19169418960244644
291,defined,790,0.41645569620253164,0.316,0.24121580547112464
292,defined,778,0.42287917737789205,0.33800000000000002,0.20071732522796348
293,defined,789,0.40811153358681873,0.30599999999999999,0.25020496894409938
294,defined,784,0.41836734693877553,0.36399999999999999,0.12995121951219524
295,defined,780,0.40897435897435896,0.318,0.22244514106583069
296,defined,755,0.4291390728476821,0.35199999999999998,0.17975308641975307
297,defined,770,0.39610389610389612,0.30399999999999999,0.23252459016393445
298,defined,779,0.41206675224646983,0.29199999999999998,0.29137694704049844
299,defined,780,0.42692307692307691,0.33000000000000002,0.22702702702702693
300,defined,775,0.40516129032258064,0.32800000000000001,0.19044585987261142
301,defined,767,0.39895697522816165,0.29999999999999999,0.24803921568627452
302,defined,794,0.38413098236775817,0.28199999999999997,0.26587540983606561
303,defined,790,0.42784810126582279,0.312,0.27076923076923076
304,defined,759,0.42292490118577075,0.33200000000000002,0.21499065420560748
305,defined,796,0.40452261306532661,0.32800000000000001,0.18916770186335397
306,defined,778,0.40616966580976865,0.32400000000000001,0.20230379746835447
307,defined,786,0.42111959287531808,0.32200000000000001,0.23537160120845924
308,defined,766,0.37859007832898173,0.30399999999999999,0.19702068965517239
309,defined,773,0.42690815006468308,0.34200000000000003,0.19889090909090912
310,defined,791,0.40581542351453853,0.35199999999999998,0.13261059190031155
311,defined,764,0.41492146596858637,0.30199999999999999,0.27215141955835964
312,defined,783,0.39591315453384418,0.308,0.22205161290322584
313,defined,789,0.41571609632446133,0.308,0.25910975609756093
314,defined,777,0.41698841698841699,0.32400000000000001,0.22299999999999998
315,defined,788,0.41751269035532995,0.33400000000000002,0.20002431610942251
316,defined,780,0.41666666666666669,0.29599999999999999,0.28960000000000008
317,defined,774,0.41989664082687339,0.33600000000000002,0.19980307692307686
318,defined,769,0.41092327698309494,0.32400000000000001,0.21153164556962023
319,defined,774,0.39147286821705424,0.30399999999999999,0.22344554455445542
320,defined,801,0.41323345817727841,0.33200000000000002,0.19658006042296072
321,defined,786,0.42239185750636132,0.32000000000000001,0.24240963855421682
322,defined,783,0.42784163473818648,0.33800000000000002,0.20998805970149248
323,defined,801,0.42696629213483145,0.32400000000000001,0.24115789473684202
324,defined,768,0.41536458333333331,0.32000000000000001,0.22959247648902814
325,defined,770,0.39480519480519483,0.29999999999999999,0.24013157894736847
326,defined,760,0.43815789473684208,0.33800000000000002,0.22858858858858844
327,defined,781,0.4353393085787452,0.34200000000000003,0.21440588235294111
328,defined,778,0.4473007712082262,0.35199999999999998,0.2130574712643678
329,defined,785,0.42547770700636944,0.33400000000000002,0.21499999999999997
330,defined,777,0.42471042471042469,0.314,0.26067272727272728
331,defined,786,0.43129770992366412,0.33000000000000002,0.23486725663716812
332,defined,779,0.40821566110397944,0.30399999999999999,0.25529559748427677
333,defined,775,0.42967741935483872,0.318,0.25990990990990992
334,defined,771,0.4150453955901427,0.33000000000000002,0.20490624999999996
335,defined,772,0.43523316062176165,0.33200000000000002,0.23719047619047617
336,defined,779,0.41720154043645702,0.33000000000000002,0.2090153846153846
337,defined,784,0.44132653061224492,0.34200000000000003,0.22506358381502889
338,defined,792,0.39646464646464646,0.314,0.20799999999999996
339,defined,780,0.39487179487179486,0.308,0.21999999999999997
340,defined,781,0.43277848911651728,0.33000000000000002,0.23748520710059173
341,defined,773,0.42820181112548511,0.35799999999999998,0.16394561933534746
342,defined,774,0.40826873385012918,0.33800000000000002,0.17211392405063286
343,defined,786,0.4020356234096692,0.29799999999999999,0.25877215189873415
344,defined,785,0.42165605095541403,0.32000000000000001,0.24108761329305139
345,defined,781,0.41485275288092188,0.314,0.24310493827160495
346,defined,774,0.42506459948320413,0.316,0.25658358662613978
347,defined,807,0.40768277571251549,0.30599999999999999,0.24941641337386022
348,defined,794,0.39546599496221663,0.316,0.2009426751592357
349,defined,791,0.41466498103666244,0.32400000000000001,0.21864634146341455
350,defined,788,0.39467005076142131,0.32800000000000001,0.16892604501607711
351,defined,775,0.41161290322580646,0.33600000000000002,0.18369905956112853
352,defined,786,0.4020356234096692,0.29799999999999999,0.25877215189873415
353,defined,786,0.41221374045801529,0.32600000000000001,0.20914814814814819
354,defined,784,0.40816326530612246,0.312,0.23560000000000003
355,defined,785,0.4229299363057325,0.33600000000000002,0.20554216867469877
356,defined,796,0.45979899497487436,0.35799999999999998,0.22139890710382515
357,defined,761,0.40210249671484888,0.32600000000000001,0.1892614379084967
358,defined,771,0.39299610894941633,0.314,0.20100990099009897
359,defined,797,0.43161856963613549,0.33800000000000002,0.2169011627906976
360,defined,783,0.45338441890166026,0.36799999999999999,0.18832676056338027
361,defined,780,0.43846153846153846,0.32600000000000001,0.25649122807017544
362,defined,780,0.41794871794871796,0.33000000000000002,0.21042944785276074
363,defined,761,0.3876478318002628,0.30399999999999999,0.21578305084745764
364,defined,792,0.42171717171717171,0.32000000000000001,0.24119760479041918
365,defined,789,0.41698352344740175,0.34200000000000003,0.17982370820668681
366,defined,753,0.40770252324037187,0.32400000000000001,0.20530293159609125
367,defined,777,0.40797940797940796,0.314,0.23035331230283906
368,defined,796,0.40326633165829145,0.32600000000000001,0.191601246105919
369,defined,787,0.42693773824650572,0.34200000000000003,0.19894642857142852
370,defined,767,0.43024771838331161,0.34599999999999997,0.19581212121212133
371,defined,781,0.4174135723431498,0.32800000000000001,0.21420858895705519
372,defined,778,0.42159383033419023,0.32200000000000001,0.2362317073170731
373,defined,782,0.4156010230179028,0.316,0.2396553846153846
374,defined,781,0.38156209987195905,0.29199999999999998,0.23472483221476514
375,defined,788,0.41243654822335024,0.312,0.24351999999999996
376,defined,810,0.42839506172839509,0.32600000000000001,0.2390201729106628
377,defined,785,0.41783439490445862,0.34599999999999997,0.17192073170731714
378,defined,779,0.44030808729139925,0.34799999999999998,0.20964431486880475
379,defined,783,0.41634738186462322,0.33000000000000002,0.20739263803680974
380,defined,782,0.43094629156010228,0.32600000000000001,0.24352522255192877
381,defined,760,0.41710526315789476,0.318,0.23760252365930601
382,defined,766,0.41644908616187992,0.33200000000000002,0.20278369905956117
383,defined,809,0.41038318912237332,0.32200000000000001,0.21536746987951805
384,defined,781,0.41613316261203587,0.34000000000000002,0.18295384615384613
385,defined,770,0.40000000000000002,0.32400000000000001,0.19000000000000006
386,defined,792,0.4128787878787879,0.31,0.24917431192660555
387,defined,782,0.44629156010230181,0.35599999999999998,0.20231518624641842
388,defined,786,0.41475826972010177,0.32000000000000001,0.22846625766871165
389,defined,778,0.43316195372750643,0.33600000000000002,0.2243086053412463
390,defined,791,0.41466498103666244,0.32600000000000001,0.21382317073170731
391,defined,771,0.41763942931258108,0.33000000000000002,0.2098447204968944
392,defined,786,0.42748091603053434,0.33200000000000002,0.22335714285714281
393,defined,788,0.43781725888324874,0.33400000000000002,0.23712463768115943
394,defined,776,0.36855670103092786,0.29799999999999999,0.19144055944055949
395,defined,796,0.4020100502512563,0.32800000000000001,0.18410000000000004
396,defined,800,0.41625000000000001,0.314,0.24564564564564562
397,defined,774,0.42248062015503873,0.318,0.2473027522935779
398,defined,782,0.39514066496163686,0.28599999999999998,0.27620711974110046
399,defined,790,0.43164556962025319,0.32600000000000001,0.24475073313782991
400,defined,791,0.45259165613147911,0.35599999999999998,0.21341899441340784
401,defined,789,0.42585551330798477,0.32200000000000001,0.24387499999999995
402,defined,768,0.40885416666666669,0.308,0.24667515923566885
403,defined,785,0.43312101910828027,0.33600000000000002,0.22423529411764709
404,defined,780,0.44615384615384618,0.36399999999999999,0.18413793103448284
405,defined,786,0.42239185750636132,0.32400000000000001,0.2329397590361445
406,defined,778,0.4241645244215938,0.32600000000000001,0.23143030303030299
407,defined,791,0.42351453855878635,0.33400000000000002,0.21136119402985065
408,defined,775,0.40903225806451615,0.34599999999999997,0.15410094637223981
409,defined,778,0.39588688946015427,0.312,0.21189610389610392
410,defined,784,0.42219387755102039,0.316,0.25152870090634438
411,defined,762,0.41601049868766404,0.33000000000000002,0.20675078864353313
412,defined,781,0.4174135723431498,0.316,0.24295705521472388
413,defined,774,0.4263565891472868,0.33600000000000002,0.21192727272727263
414,defined,754,0.4442970822281167,0.33000000000000002,0.25725373134328355
415,defined,788,0.40736040609137059,0.314,0.22918380062305299
416,defined,775,0.41548387096774192,0.32000000000000001,0.22981366459627328
417,defined,776,0.40206185567010311,0.30199999999999999,0.24887179487179489
418,defined,790,0.4417721518987342,0.33200000000000002,0.24848137535816617
419,defined,784,0.37882653061224492,0.28000000000000003,0.26087542087542082
420,defined,789,0.3929024081115336,0.26400000000000001,0.3280774193548387
421,defined,805,0.39751552795031053,0.30599999999999999,0.23021874999999992
