partition_index,partition_id,calibration_condition_ids,evaluation_condition_ids,calibration_condition_count,evaluation_condition_count,fallback_calibration_count,specialist_calibration_count,fallback_evaluation_count,specialist_evaluation_count
11,partition_011_831ca4de2990,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
12,partition_012_586807991cc0,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,6,4,4,2,4,0
13,partition_013_4639dbdb6095,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
14,partition_014_7cce35e462d7,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,6,4,4,2,4,0
15,partition_015_d2c74163868e,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,6,4,4,2,4,0
16,partition_016_7bffe2483c11,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
17,partition_017_a119cfedda52,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
18,partition_018_4564a231687a,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
19,partition_019_4ea030d21839,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
20,partition_020_93c63bd6fce0,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
21,partition_021_601eb1a9196d,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
22,partition_022_1096b6c99604,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
23,partition_023_de5d53be9599,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
24,partition_024_ad76837de245,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
25,partition_025_9742a216df44,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,6,4,5,1,3,1
26,partition_026_340bb40f9e5a,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
27,partition_027_0197406d8352,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
28,partition_028_76f211007bce,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
29,partition_029_282f9a8daf86,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
30,partition_030_683d2d5e300f,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
31,partition_031_6adef642bd96,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,6,4,5,1,3,1
32,partition_032_49c3c792ab97,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
33,partition_033_ff229abd5b49,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
34,partition_034_a05b6ec4ee0a,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5,6,4,5,1,3,1
35,partition_035_8b7b77504e6e,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50,6,4,5,1,3,1
36,partition_036_673b6d7157ff,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
37,partition_037_b2980dcbb4d3,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
38,partition_038_8a64fd2f4fc3,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
39,partition_039_b1238464096b,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,6,4,4,2,4,0
40,partition_040_cf546a05b0d7,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
41,partition_041_d2e529cd4033,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
42,partition_042_7374cc557298,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,6,4,4,2,4,0
43,partition_043_1fbfa576f7cb,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
44,partition_044_1e98e122b9bb,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,6,4,4,2,4,0
45,partition_045_ca2ec77fe9c7,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,6,4,4,2,4,0
46,partition_046_8eb946a3c0fe,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
47,partition_047_46453a61cf59,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
48,partition_048_0bce1800e813,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,6,4,4,2,4,0
49,partition_049_c5f97d40abc1,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
50,partition_050_4c0a3220e149,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,6,4,4,2,4,0
51,partition_051_6abc6696e2b0,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,6,4,4,2,4,0
52,partition_052_6ccafbfa12cc,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC87.5,6,4,4,2,4,0
53,partition_053_a1a77356935f,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75,6,4,4,2,4,0
54,partition_054_e199a29f20e0,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5,6,4,4,2,4,0
55,partition_055_c1da6c5d1236,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50,6,4,4,2,4,0
56,partition_056_11d7195b8fef,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
57,partition_057_2ffb9ef0ed7e,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
58,partition_058_6bf6559e9066,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
59,partition_059_eab731050b9a,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC75,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC87.5,6,4,5,1,3,1
60,partition_060_8d28d780d33e,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC62.5;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC75,6,4,5,1,3,1
61,partition_061_ef11aec38242,NAUMANN_CAL_T25_SOC50;NAUMANN_CAL_T40_SOC0;NAUMANN_CAL_T40_SOC25;NAUMANN_CAL_T40_SOC37.5;NAUMANN_CAL_T40_SOC75;NAUMANN_CAL_T40_SOC87.5,NAUMANN_CAL_T40_SOC100;NAUMANN_CAL_T40_SOC12.5;NAUMANN_CAL_T40_SOC50;NAUMANN_CAL_T40_SOC62.5,6,4,5,1,3,1
